,train loss,valid loss
0,0.5352636340052582,0.5116493349012575
1,0.5060197863467905,0.4760202773307499
2,0.4824706690255986,0.476125283460868
3,0.4693288622900497,0.4599653082458596
4,0.45877983334452604,0.47914061107133565
5,0.45828971336054247,0.42514063496338694
6,0.44721030634503034,0.4299606484802146
7,0.4397922788941583,0.4299324986181761
8,0.4365407616593117,0.4164056244649385
9,0.4245189844175827,0.40795689507534627
10,0.42255021666371545,0.4260138665374957
11,0.42744346344193745,0.40549166422141225
12,0.4209265015846075,0.39132643451816157
13,0.4123617112636566,0.4309032088831851
14,0.4153744668461556,0.40249406742422206
15,0.4072036590687064,0.41648510255311666
16,0.4066360086895699,0.417023786588719
17,0.4122462217197862,0.39634200146323756
18,0.4078286574330441,0.37326685143144506
19,0.4022356070751368,0.3978357918952641
20,0.39813183213389197,0.4157019437927949
21,0.4045383652975393,0.40925057232379913
22,0.4020943163439285,0.3732028525126608
23,0.40163826457289764,0.38563092680353867
24,0.39104694405267404,0.4106169209668511
25,0.39670794925024344,0.3860573545098305
26,0.39625145598899486,0.4190839999600461
27,0.39102192812187725,0.387537724093387
28,0.39408172147218573,0.38154911289089605
29,0.38870381407959514,0.3858782005937476
30,0.3891205309435379,0.3857972331737217
31,0.3934230499489363,0.3997943832686073
32,0.397691173608913,0.3972272559216148
33,0.3915573580320491,0.36043320517790944
34,0.39376289345497306,0.36788174666856466
35,0.39127349506976994,0.35138399232374995
36,0.38922262122464735,0.3612859241272274
37,0.39622054197067436,0.38996810505264684
38,0.38593043144359146,0.3811111724690387
39,0.38901920581972876,0.3983666888977352
40,0.3842830207458762,0.3760375960877067
41,0.389475017786026,0.3689952896613824
42,0.3875730508981749,0.3911384834270728
43,0.38841530611348707,0.36024834137213857
44,0.3707952035027881,0.3868633767491893
45,0.3918379004611525,0.371976852809128
46,0.3939620103946952,0.36399493562547786
47,0.3950902590917986,0.381911520895205
48,0.3828709673049838,0.37286461889743805
49,0.38517277947691986,0.355662487055126
